,Model,Feature_Selection,fit_time,score_time,test_profit_0.5,train_profit_0.5,test_profit_0.6,train_profit_0.6,test_profit_0.7,train_profit_0.7,test_accuracy,train_accuracy,test_precision,train_precision,test_recall,train_recall,test_f1,train_f1,test_roc_auc,train_roc_auc
0,logistic_all_features,none,0.1679619789123535,0.03750734329223633,-0.8844376899696048,-0.8812951705504897,-0.954258696386356,-0.953434650455927,-0.9873150962512665,-0.987129348193178,0.6972644376899696,0.6997635933806146,0.5850818454194024,0.5943133682468626,0.2199702008931006,0.22508837666645984,0.3197019266796371,0.32649767735151614,0.6675699506251667,0.6722041542198396
1,logistic_k_best_f,k_best_f,0.07277035713195801,0.010845041275024414,-0.8844376899696048,-0.8812951705504897,-0.954258696386356,-0.953434650455927,-0.9873150962512665,-0.987129348193178,0.6972644376899696,0.6997635933806146,0.5850818454194024,0.5943133682468626,0.2199702008931006,0.22508837666645984,0.3197019266796371,0.32649767735151614,0.6675699506251667,0.6722041542198396
2,logistic_k_best_mutual_info,k_best_mutual_info,0.06167316436767578,0.01383066177368164,-0.8887537993920972,-0.8855133400878081,-0.955677136102668,-0.9558426207362377,-0.9882404593042893,-0.9877929753461668,0.6960486322188449,0.6982607227288078,0.5819708489352596,0.5900019805742527,0.2134935853386649,0.21887359555733452,0.31235922478156,0.319274914807462,0.6675751754860274,0.6710002628161047
3,logistic_rf_importance,rf_importance,0.05743894577026367,0.011449527740478516,-0.8873961499493415,-0.884417426545086,-0.9559135427220534,-0.9559422492401216,-0.9887673083417765,-0.9881492738939548,0.6965214454576156,0.698581560283688,0.5836653539695773,0.5908355126293553,0.21537359048697327,0.22044040703522044,0.31459706507697494,0.32105186763107896,0.6676570462606082,0.6713661821813417
4,logistic_l1_importance,l1_importance,0.0641446590423584,0.013190364837646485,-0.8844309354947653,-0.8815281999324552,-0.9544478216818642,-0.9534667342114151,-0.9875042215467748,-0.9872695035460992,0.6973319824383655,0.6996453900709221,0.5853741144631659,0.5939127162580412,0.2199702008931006,0.22472284141841806,0.31974831093842754,0.32605732650234204,0.6675967426249783,0.672191395218564
5,rf_all_features,none,6.326332330703735,0.42841663360595705,-0.8811279972982101,-0.14597771023302938,-0.9526849037487335,-0.15232185072610605,-0.9845187436676797,-0.33044917257683215,0.6888888888888889,0.9999662276258021,0.5473162044759124,1.0,0.21892221473245158,0.9998955477198541,0.3125601862840605,0.9999477670401123,0.6345990319993982,1.0
6,rf_k_best_f,k_best_f,8.994948387145996,0.41821064949035647,-0.8806957109084769,-0.14590341100979398,-0.9535089496791624,-0.15211246200607903,-0.9846470786896319,-0.32578520770010133,0.6878081729145559,0.9999831138129011,0.542896587487907,1.0,0.21746061871322833,0.9999477806788513,0.3104658707117346,0.9999738869304087,0.6307978817691803,1.0
7,rf_k_best_mutual_info,k_best_mutual_info,8.125357675552369,0.4439566135406494,-0.8806416751097602,-0.14597771023302938,-0.9493211752786219,-0.1534566024991557,-0.981533265788585,-0.3334886862546437,0.6849712934819318,0.9999662276258021,0.5316342703508639,1.0,0.2164150321878347,0.9998955477198541,0.307525201838838,0.9999477670401123,0.6261864136852491,1.0
8,rf_rf_importance,rf_importance,8.777989721298217,0.4190237045288086,-0.8872070246538334,-0.14597771023302938,-0.9504896994258696,-0.15200439040864572,-0.9838905775075988,-0.33063998649105036,0.6842283012495778,0.9999662276258021,0.5300986564012132,1.0,0.20743254298073968,0.9998955477198541,0.298077867063654,0.9999477670401123,0.6300547787183371,1.0
9,rf_l1_importance,l1_importance,9.829154634475708,0.383419132232666,-0.8833637284701116,-0.14590341100979398,-0.951306990881459,-0.1525582573454914,-0.9835596082404592,-0.3266244511989193,0.6864572779466396,0.9999831138129011,0.538417264637647,1.0,0.21411945384301587,0.9999477806788513,0.3063070570085943,0.9999738869304087,0.6306633174331328,1.0
10,lgb_all_features,none,2.0346158027648924,0.11408257484436035,-0.8743465045592705,-0.7215569064505234,-0.9422357311719013,-0.8605775075987842,-0.9774738264099966,-0.9445170550489699,0.6900371496116178,0.7964370145221209,0.5499074179826302,0.8834289067844695,0.22791212099397257,0.4268852859208991,0.3222052697163077,0.5754871846218521,0.6456796608970482,0.9028605138192421
11,lgb_k_best_f,k_best_f,1.778135395050049,0.11033163070678711,-0.8743465045592705,-0.7215569064505234,-0.9422357311719013,-0.8605775075987842,-0.9774738264099966,-0.9445170550489699,0.6900371496116178,0.7964370145221209,0.5499074179826302,0.8834289067844695,0.22791212099397257,0.4268852859208991,0.3222052697163077,0.5754871846218521,0.6456796608970482,0.9028605138192421
12,lgb_k_best_mutual_info,k_best_mutual_info,1.8056004047393799,0.06674284934997558,-0.8839918946301925,-0.7467848699763593,-0.9448429584599797,-0.8750878081729146,-0.9778790949003715,-0.9514555893279297,0.6883485309017223,0.7871664978047958,0.5457396140222268,0.8740834559432132,0.2149562721011861,0.3992583192579374,0.3084012180086287,0.5481326869520307,0.6420846470119848,0.8909753179642091
13,lgb_rf_importance,rf_importance,2.103685235977173,0.13487095832824708,-0.8817088821344139,-0.7220229652144545,-0.9426207362377574,-0.8596690307328604,-0.978676122931442,-0.9460604525498143,0.6862546437014522,0.796386355960824,0.5366248849185558,0.8855944114911349,0.21788142747756883,0.42531870628643437,0.3098900663681716,0.5746105267452402,0.6461733843355036,0.9028619465698793
14,lgb_l1_importance,l1_importance,1.7885988712310792,0.11527304649353028,-0.8785207700101317,-0.7205943937858832,-0.9417831813576495,-0.858451536643026,-0.9790003377237418,-0.943208375548801,0.6894967916244512,0.7986491050320839,0.549191324399821,0.8910377119160282,0.2224771652890579,0.4298100997813171,0.31663674048213347,0.5798828089562404,0.6489545526964039,0.9008559297589148
15,gb_all_features,none,17.70420560836792,0.04785099029541016,-0.8895373184734888,-0.8596842283012496,-0.9555082742316785,-0.9371546774738263,-0.9857210401891253,-0.9799628503883822,0.6937521107733874,0.7228976697061804,0.5722219654596705,0.6926958295226175,0.21140590266643106,0.25704973791465024,0.3086634043664275,0.3748805775834939,0.6567651003024944,0.7218946345303755
